Course,document_ID,Question
data-engineering-zoomcamp,7000acaa,When will the course start?
data-engineering-zoomcamp,7000acaa,How can I subscribe to the course public Google Calendar?
data-engineering-zoomcamp,7000acaa,What should I do before the course starts?
data-engineering-zoomcamp,7000acaa,How can I join the course Telegram channel?
data-engineering-zoomcamp,7000acaa,Where should I register and join the Slack channel?
data-engineering-zoomcamp,589ff45b,What are the prerequisites for this course?
data-engineering-zoomcamp,589ff45b,Where can I find more information about the course prerequisites?
data-engineering-zoomcamp,589ff45b,Is there a specific GitHub repository for the course prerequisites?
data-engineering-zoomcamp,589ff45b,Can you provide the link to the GitHub repository for the course prerequisites?
data-engineering-zoomcamp,589ff45b,How can I access the data-engineering-zoomcamp prerequisites on GitHub?
data-engineering-zoomcamp,dc2b8c0f,Can I still enroll in the course after the start date?
data-engineering-zoomcamp,dc2b8c0f,Am I allowed to submit homework if I didn't register for the course?
data-engineering-zoomcamp,dc2b8c0f,What should I consider regarding the final project deadlines?
data-engineering-zoomcamp,dc2b8c0f,"If I join late, will I have access to all course materials?"
data-engineering-zoomcamp,dc2b8c0f,Is there a penalty for submitting homework late?
data-engineering-zoomcamp,081e4c4b,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?
data-engineering-zoomcamp,081e4c4b,Do I need a confirmation email to start learning and submitting homework?
data-engineering-zoomcamp,081e4c4b,Is registration checked against any list before starting the course?
data-engineering-zoomcamp,081e4c4b,What is the purpose of registering for the course?
data-engineering-zoomcamp,081e4c4b,Can I start learning and submitting homework without registering for the course?
data-engineering-zoomcamp,806339a9,What are some things I can do before the course starts?
data-engineering-zoomcamp,806339a9,What software do I need to have installed before the course begins?
data-engineering-zoomcamp,806339a9,Is there a list of prerequisites and subjects I should be familiar with?
data-engineering-zoomcamp,806339a9,Should I have a Google cloud account set up?
data-engineering-zoomcamp,806339a9,What is the importance of setting up Python 3 with Anaconda before the course starts?
data-engineering-zoomcamp,571e1468,How many Zoom Camps are there in a year?
data-engineering-zoomcamp,571e1468,Are the Zoom Camps for different courses?
data-engineering-zoomcamp,571e1468,Is there a specific schedule for each Zoom Camp cohort?
data-engineering-zoomcamp,571e1468,Is there a limit to the number of participants in each Zoom Camp cohort?
data-engineering-zoomcamp,571e1468,Can I take the Zoom Camps at my own pace if I'm not interested in the Certificate?
data-engineering-zoomcamp,1c3cab37,Will the current cohort be different from the previous cohort?
data-engineering-zoomcamp,1c3cab37,What will be used for the 2024 edition instead of Prefect?
data-engineering-zoomcamp,1c3cab37,What were used for the 2023 edition instead of Airflow?
data-engineering-zoomcamp,1c3cab37,Have the terraform videos been re-recorded for the current cohort?
data-engineering-zoomcamp,1c3cab37,What changes have been made for the current cohort compared to the previous one?
data-engineering-zoomcamp,4ff98ca1,Can I access course materials after the course ends?
data-engineering-zoomcamp,4ff98ca1,Is it possible to continue working on homework after the course finishes?
data-engineering-zoomcamp,4ff98ca1,Can I prepare for the next cohort after the course ends?
data-engineering-zoomcamp,4ff98ca1,Is it allowed to start working on the final capstone project after the course ends?
data-engineering-zoomcamp,4ff98ca1,Do I have the option to follow the course at my own pace after it finishes?
data-engineering-zoomcamp,31adf024,Can I receive support if I am taking the course in the self-paced mode?
data-engineering-zoomcamp,31adf024,Where can I ask questions if I need help while taking the course?
data-engineering-zoomcamp,31adf024,Is the slack channel available for support in self-paced mode?
data-engineering-zoomcamp,31adf024,How should I search for answers to my questions in the slack channel?
data-engineering-zoomcamp,31adf024,Can I rely on @ZoomcampQABot to answer all my questions?
data-engineering-zoomcamp,0fb54b8c,Which playlist on YouTube should I refer to?
data-engineering-zoomcamp,0fb54b8c,Where are all the main videos stored?
data-engineering-zoomcamp,0fb54b8c,Where can I find additional videos for a specific year?
data-engineering-zoomcamp,0fb54b8c,How can I quickly access the main playlist?
data-engineering-zoomcamp,0fb54b8c,Where is the playlist pinned for easy reference?
data-engineering-zoomcamp,c6b2be33,How many hours per week am I expected to spend on this course?
data-engineering-zoomcamp,c6b2be33,What factors determine the number of hours I need to spend on the course?
data-engineering-zoomcamp,c6b2be33,Is there a specific formula to calculate the weekly hours required for the course?
data-engineering-zoomcamp,c6b2be33,Can I reduce the number of hours required based on my previous experience?
data-engineering-zoomcamp,c6b2be33,Are there any recommended study strategies to effectively manage the weekly study hours?
data-engineering-zoomcamp,02baa606,Can I get a certificate if I follow the course in a self-paced mode?
data-engineering-zoomcamp,02baa606,What do I need to do to receive a certificate at the end of the course?
data-engineering-zoomcamp,02baa606,Is peer-reviewing projects required to obtain a certificate?
data-engineering-zoomcamp,02baa606,Why can't I get a certificate in the self-paced mode?
data-engineering-zoomcamp,02baa606,When can I peer-review capstone projects to qualify for a certificate?
data-engineering-zoomcamp,62c2ba8b,Where can I find the video/zoom link for the 'Office Hour' or workshop sessions?
data-engineering-zoomcamp,62c2ba8b,How do students participate in the office hours and submit questions?
data-engineering-zoomcamp,62c2ba8b,Where will the video URL be posted before the 'Office Hour' begins?
data-engineering-zoomcamp,62c2ba8b,Why should students not post their questions in the chat?
data-engineering-zoomcamp,62c2ba8b,How can students watch the 'Office Hour' sessions live?
data-engineering-zoomcamp,c6cb4b0a,Will the office hours/workshops be recorded if I can't attend live?
data-engineering-zoomcamp,c6cb4b0a,Where can I find the recorded 'Office Hours' sessions?
data-engineering-zoomcamp,c6cb4b0a,How soon after the live session will the recording be available?
data-engineering-zoomcamp,c6cb4b0a,Is there a limit to how many times I can rewatch the recordings?
data-engineering-zoomcamp,c6cb4b0a,Will the recordings be available for the entire duration of the course?
data-engineering-zoomcamp,7f374070,Where can I find the latest homework and project deadlines?
data-engineering-zoomcamp,7f374070,How can I stay informed of any deadline extensions or updates?
data-engineering-zoomcamp,7f374070,Are there any specific channels I should check for deadline changes?
data-engineering-zoomcamp,7f374070,What should I do if I miss a deadline?
data-engineering-zoomcamp,7f374070,Is it okay to submit homework late if I have a valid reason?
data-engineering-zoomcamp,9ff3f346,Can I submit homework after the due date?
data-engineering-zoomcamp,9ff3f346,Is there a deadline for submitting homework?
data-engineering-zoomcamp,9ff3f346,What should I do if I miss the deadline for homework submission?
data-engineering-zoomcamp,9ff3f346,How can I confirm my submission of homework?
data-engineering-zoomcamp,9ff3f346,What happens if I submit homework after the due date?
data-engineering-zoomcamp,b2a67b61,Where can I find the homework URL in the homework link?
data-engineering-zoomcamp,b2a67b61,Can I use any repository for the homework submission?
data-engineering-zoomcamp,b2a67b61,Is it necessary to have a repository on github for the homework?
data-engineering-zoomcamp,b2a67b61,Are there specific requirements for the location of the code for homework submission?
data-engineering-zoomcamp,b2a67b61,Should the code for homework be easily accessible to others?
data-engineering-zoomcamp,51cc505a,How are homework points calculated in the course management platform?
data-engineering-zoomcamp,51cc505a,Where can I see the points I have earned for a specific homework?
